辞書ページ,見出し語,かな1,かな2,かな3,アクセント型,品詞,文語などの種別,補足,意味 1.,意味 2.,意味 3.,意味 4.,意味 5.,備考
100,?aata]bai,あーたばい,,,⓪,名,,,"またぐらの痛い時など,またを横に広げるようにして歩くこと。その滑稽な歩き方を嘲笑して言う語。?aata-は?ataku,?atabici（ともに蛙の種類の名）の?ata-と関係ある形か。?aatabaiは蛙のよちよち歩く歩き方と似ている。～sjuN.足を広げてよちよち歩く。",,,,,
100,?aata、najuN,あーた、なゆん,,,⓪、⓪,句,,,疲れてくたくたになる。疲れてぐにゃぐにゃになる。のびる。,,,,,1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
100,?aatootu,あーとーとぅ,,,①,感,,,神仏を拝む時に発する声。あなとうと。女は?uutootuとも言う。,,,,,
100,?abaa,あばー,,,⓪,名,,,"姉。ねえさん。農村で用いる語。首里では,士族については?Nmii,平民については?aNgwaaという。",,,,,
100,?abacino]ori,あばちのおり,,,⓪,副,,,もて余すさま。身動きのとれないようなさま。～sjuN.,,,,,
100,?abacisigutu,あばちしぐとぅ,,,⓪,名,,,手に余る仕事。もて余す仕事。,,,,,
100,?aba=cuN,あばちゅん,,,⓪,"自 =kaN,=ci",,,"たくさんの着物･大きすぎる着物などを着てもて余す。また,仕事などをもて余す。sigutu ?uhooku ?iiCikiraQti ?abacoosa.仕事をたくさん言い付けられてもて余しているよ。",,,,,
100,?abaraa,あばらー,,,①,名,,,大食い。大食漢,,,,,
100,?abaraja,あばらや,,,①,名,文,,あばらや。,,,,,
100,?abasi,あばし,,,⓪,名,,,おてんば。おしゃべりな女。,,,,,
100,?abasi,あばし,,,⓪,名,,,"魚の名。おこぜの類。暖海に産し,刺がたくさんある。",,,,,
100,?abasjaa,あばさー,,,⓪,名,,,?abasi（おてんば）と同じ。,,,,,
100,?abiigwii,あびーぐぃー,,,⓪,名,,,叫び声。kaamakara～nu cikariiN.遠くから叫び声が聞こえる。,,,,,
100,?abiihoo=ju]N,あびーほーゆん,,,⓪,"自 =raN,=ti",,,わめき散らす。どなり散らす。,,,,,
100,?abii?uduruka=sju]N,あびーうどぅるかすん,,,⓪,"他 =saN,=ci",,,大声でどなって驚かす。,,,,,
100,?abijaa,あびやー,,,⓪,名,,,1.叫ぶ者。わめく者。泣きわめく者。鳴くもの。,2.鳴くせみ。鳴かないせみはCiigaaという。,,,,
100,?abijaatii]jaa,あびやーてぃーやー,,,⓪,副,,,"わめき散らすさま。また,大勢がわいわい騒ぐさま。喧喧ごうごう。～sjuN.",,,,,
100,?abi=juN,あびゆん,あびいん,,⓪,"自 =raN,=ti",,,"1.叫ぶ。大声で呼ぶ。また,わめく。どなる。?abiti'NNdee.大声で呼んでみろ。",2.大声で泣く。泣き叫ぶ。,3.ほえる。犬･猫･豚などが鳴く。,,,
100,-abi=juN,-あびゆん,-あびいん,,,"接尾=raN,=ti,一部不規則",,,"ます。…します。話し相手に対する丁寧の敬語。-abiiNということが多い。'uN（いる）と複合した動詞（すなわち一般の動詞）に付く時には,その｢終止形｣からuNを除いた形につく。kacuN（書く）→kacabiiN（書きます）,tujuN（取る）→tujabiiN（取ります）など。'uN（いる）,?aN（ある,）'jaN（だ）などに付く時には末尾のNを除いた形に付き,'ujabiiN,'uibiiN（います）,?ajabiiN, ?aibiiN（あります）,'jajabiiN,'jaibiiN（です）のように,-jabiiNもしくは-ibiiNとなる。形容詞の場合も同じくtuusaN（遠い）→tuusajabiiN, tuusaibiiN（遠いです）のようになる。'junabira.読みましょう。'jumimiSeejabiimi.お読みになりますか。",,,,,
101,?abu,あぶ,,,⓪,名,,,安部。«地»参照。,,,,,
101,?abu=cuN,あぶちゅん,,,⓪,"自 =kaN,=ci",,,飯などが吹きこぼれる。沸騰して吹き出る。,,,,,
101,?abu=cuN,あぶちゅん,,,①,"自 =kaN,=ci",,,暑くて蒸し蒸しする。蒸すように暑い。,,,,,
101,?abui,あぶい,,,⓪,名,,,あぶみ。,,,,,
101,?abuikuu,あぶいくー,,,⓪,名,,,魚や餅などを焼く金網。,,,,,
101,?abu=juN,あぶゆん,あぶいん,,⓪,"他=raN,=ti",,,"あぶる。食物などを焼く。また,火にかざし暖める。muci～.餅を焼く。tiinusaci～.手の先をあぶる。",,,,,
101,?abunasjaN,あぶなさん,,,①,形,文･新,,危い。元来は?ukaasjaNという。?abunee tukuru.危い所。,,,,,
101,?abusi,あぶし,,,⓪,名,,,あぜ。田のあぜ。,,,,,
101,?abusibaree,あぶしばれー,,,⓪,名,,,"あぜ祓いの意。旧暦4月に行なう田の祭り。仕事を休み,ごちそうを作って一日を遊び暮らす。また,海人草（nacoora）を煎じて飲み,海人草の雑炊を食べる。海人草は回虫を除くにのに効くとされる。",,,,,
101,?abusimaku]ra,あぶしまくら,,,⓪,名,文,,"稲の穂がみのり,?abusi（あぜ）を枕にすること。豊作を形容していう語。",,,,,
101,?abusimici,あぶしみち,,,⓪,名,,,あぜ道。,,,,,
101,?aca,あちゃ,,,⓪,名,,,あした。あす。,,,,,
101,?aca]?asa,あちゃあさ,,,⓪,名,,,あしたの朝。,,,,,
101,?acagai,あちゃがい,,,①,名,,,時期が終わること。,,,,,
101,?acaga=juN,あちゃがゆん,あちゃがいん,,①,"自 =raN,=ti",,,1.時期が去る。時期はずれとなる。?acineenu～.商売の時期が終わる。,"2.飽きが来る。仕事･人などに対する熱がさめる。tageeni ?iQpee kanasja sjootaru muN, kuneedaNSee ?acagatooru gutoosa.互いにとても愛し合っていたのに,このごろは熱がさめたようだよ。",,,,
101,?aca]juru,あちゃゆる,,,⓪,名,,,あしたの夜。,,,,,
101,?aca]jusaNdi,あちゃゆさんでぃ,,,⓪,名,,,あしたの晩。,,,,,
101,?aca]sutumiti,あちゃすとぅみてぃ,,,⓪,名,,,あしたの朝。,,,,,
101,?aci,あち,,,①,名,文、古,,"1.〔文〕秋。秋という季節感がないので,口語ではほとんど使わない。",2.〔古〕収穫の時期。刈り入れ時。,,,,
101,?aCibee,あちべー,,,⓪,名,,,熱灰。まだ火気のある灰。～Nkai hwisja ?iQtaNnee.熱い灰に足を入れたように。非常にあわてるさま。,,,,,
101,?aCibii,あちびー,,,⓪,名,,,"柔らかい御飯。おかゆと御飯との中間ぐらいの,子供･病人などに食べさせる御飯。",,,,,
101,?aCibiiraci,あちびーらち,,,⓪,名,,,"はれものなどが熱をもって痛むこと。また,やけどが痛むこと。",,,,,
101,?aCiguni,あちぐに,,,⓪,名,,,暑い地方。熱帯地方。hwiiguniの対。,,,,,
101,?acihaisigutu,あちはいしぐとぅ,,,⓪,名,,,"飽きてしまうような仕事。きりのないようないやいやながらの仕事。～nu ?asihaisigutu.いやいやながらの仕事は,よけい汗の出る仕事となる。",,,,,
101,?acihaisii,あちはいしー,,,⓪,名,,,いやいやながらすること。～sjuN.,,,,,
101,?acihatibeesaN,あちはてぃべーさん,,,⓪,形,,,飽きが早い。飽きっぽい。,,,,,
101,?acihati=juN,あちはてぃゆん,あちはてぃいん,,⓪,"自=raN,=ti",,,飽きる。,,,,,
101,?aCijaahuu]jaa,あちやーふーやー,,,⓪,副,,,"暑くて,ふうふういうさま。盛んに暑がるさま。～sjuN.",,,,,
101,?aCika=juN,あちかゆん,あちかいん,,①,"他=aN,=raN,=ti",,,1.扱う。取り扱う。使いこなす。?eeku～.櫂をあやつる。,2.こき使う。酷使する。?aCikaariiN.こき使われる。,,,,
101,?aCikeegurisjaN,あちけーぐりさん,,,①,形,,,人･道具などが扱いにくい。使いにくい。,,,,,
101,?aCiki,あちき,,,⓪,名,,,"ゆげ。また,蒸気。?usjoorooja～du ?usjagajuru.御精霊は湯気を召しあがる。お供えものは熱いうちに,または,ふたを取って供えろの意。",,,,,
101,?aCikookoo,あちこーこー,,,①,副,,,"ほやほや。煮えたばかりのさま。また,料理の熱いうちに。～sjooini kamee.ほやほやのうちに食べろ。?ubuN ～ kanuN.御飯を熱いうちに食べる。",,,,,
102,?aCima=juN,あちまゆん,あちまいん,,⓪,"自=raN,=ti",新,,集まる。元来はsurijuNという。,,,,,
102,?aCimi=juN,あちみゆん,あちみいん,,⓪,"自=raN,=ti",新,,集める。元来はsurirasjuNという。,,,,,
102,?acinee,あちねー,,,⓪,名,,,商売。あきない。～sjuN.,,,,,
102,?acineeguhwasaN,あちねーぐふぁさん,,,⓪,形,,,商売がうまく行かない。,,,,,
102,?acineemuN,あちねーむん,,,⓪,名,,,商品。,,,,,
102,?acineeNcu,あちねーんちゅ,,,⓪,名,,,商人。,,,,,
102,?acineesjaa,あちねーさー,,,⓪,名,,,商人。,,,,,
102,?acineezoozi,あちねーじょーじ,,,⓪,名,,,あきない上手。商売上手。,,,,,
102,?acinu?iju,あちぬいゆ,,,⓪,名,,,まぐろ。?aka?aciとsiru?aciとある。,,,,,
102,?aciraka,あちらか,,,⓪,名,,,明らか。公明。正しいこと。～na Qcu.公明な人。,,,,,
102,?aCirasikeesaa,あちらしけーさー,,,⓪,名,,,何度も暖め直した食物。,,,,,
102,?aCira=sjuN,あちらすん,,,⓪,"他=saN,=ci",,,熱くする。食物などを暖める。,,,,,
102,?aCiree,あちれー,,,⓪,名,,,あつらえ。注文して作らせること。'jamatusoobee too?aCiree.その項参照。,,,,,
102,?aCiree=juN,あちれーゆん,あちれーいん,,⓪,"他=raN,=ti",,,あつらえる。注文して作らせる。,,,,,
102,?aCireemuN,あちれーむん,,,⓪,名,,,あつらえ物。注文して作らせたもの。,,,,,
102,?aCiri=juN,あちりゆん,あちりいん,,⓪,"自 =raN,=ti",,,熱くなる。暖まる。食物などについて多くいう。,,,,,
102,?aCisakamarasaa,あちさかまらさー,,,⓪,名,,,暑さ嫌い。暑さを苦にする者。,,,,,
102,?aCisaN,あちさん,,,⓪,形,,,1.暑い。hwiisaN（寒い）の対。,2.熱い。hwizurusaN（冷たい）の対。,,,,
102,?aCisaN,あちさん,,,①,形,,,厚い。hwiQsaN（薄い）の対。,,,,,
102,?aCisa?umii,あちさうみー,,,⓪,名,,,暑がり。暑がる者。,,,,,
102,?acizaraN,あちじゃらん,,,⓪,自、否定形のみがある,,,1.飽き足りない。不満である。～muN.飽き足らぬ者。不満を感じさせる者。～munu?iikata.不満を感じさせる言い方。,"2.なごり惜しい。～'wakari.なごり惜しい別れ。?acizaranoo ?aSiga mata 'jaa.なごり惜しいけど,また会おうね。",,,,
102,?aCizii,あちじー,,,⓪,名,,,寝た時の足もと。maQkwagwaN（枕元）の対。,,,,,
102,?acoodaa,あちょーだー,,,⓪,名,,,商人。卑称。,,,,,
102,?acoodu,あちょーどぅ,,,⓪,名,,,商人。多く仲買い人をいう。,,,,,
102,?acooduguci,あちょーどぅぐち,,,⓪,名,,,仲買い人のことば。上手だが信用できない話しぶりをいう。｢仲人口｣に似た語。,,,,,
102,?a=cuN,あちゅん,,,①,"自 =kaN,=ci",,,1.明く。開く。hasirunu～.戸があく。?ananu ?acooN.穴があいている。,2.空く。'jaanu ?acooN.家があいている。,,,,
102,?acuu,あちゅー,,,⓪,名,,,熱いものの小児語。,,,,,
102,?ada,あだ,,,⓪,名,,,安田。«地»参照。,,,,,
102,?ada,あだ,,,①,名,,,あだ。徒労。～nataN.徒労になった。,,,,,
102,?ada,あだ,,,①,名,,,かたき。あだ。～?ucuN.かたきをうつ。,,,,,
102,?adaa=sjuN,あだーすん,,,①,"他 =saN,=ci",,,声高に叱りつける。どなりつける。'warabi～.子供をどなりつける。,,,,,
102,?adaki,あだき,,,⓪,名,,,あの高さ。あんなに高く。あれだけの高さ。～?agatooN.あの高さに上がっている。,,,,,
102,?adanasi,あだなし,,,⓪,名,,,"?adani（阿旦）の気根。また,その繊維で作った縄。",,,,,
102,?adani,あだに,,,⓪,名,,,"阿旦。たこのき科の亜熱帯性常緑灌木。気根を生じ,葉は細長く,とがり,刺がある。葉からござ･帽子などを作り,気根の繊維は縄などにする。?adaNともいう。",,,,,
102,?adaN,あだん,,,⓪,名,,,?adani（阿旦）と同じ。,,,,,
103,?adaNbaa,あだんばー,,,⓪,名,,,?adani（阿旦）の葉。,,,,,
103,?adaNbaamusiru,あだんばーむしる,,,⓪,名,,,?adaNbaaで作ったむしろ。,,,,,
103,?adaNbaasaba,あだんばーさば,,,⓪,名,,,?adaNbaaで作ったぞうり。,,,,,
103,?adaNna,あだんな,,,⓪,名,,,安谷屋。«地»参照。,,,,,
103,?adasi,あだし,,,⓪,連体,文,,はかない。はかなき。～'jununakani nagaraiti 'ututi.[あだし世の中にながらへて居とて（忠臣身替）]はかない世の中に長らえていて。,,,,,
103,?adati=juN,あだてぃゆん,あだてぃいん,,⓪,"他 =raN,=ti",,,"捜す。捜し求める。尋ね求める。求めてあちこち聞いて回る。｢あだて｣と関係ある語か。namaa ?adatitiN,'jaaja tumeegurisjaN.今は捜しても,家は見つけにくい。",,,,,
103,?adu,あどぅ,,,⓪,名,,,かかと。,,,,,
103,?aduSiriSiri,あどぅしりしり,,,⓪,名,,,"足ずり。子供などが足を地にすりつけて,だだをこねることをいう。～sjuN.",,,,,
103,?aduzisi,あどぅじし,,,⓪,名,,,1.かかとの裏。,"2.かかとの裏にできる,うおのめのようなはれもの。はれて堅くなり,痛む。焼き針を立てたり,焼き瓦を当てたりして治療した。",,,,
103,?aee,あえー,,,⓪,名,,,あり合わせ。 ?aieeともいう。～nu muNsaani siinasjuN.あり合わせのものでうまくやる。,,,,,
103,?agacaa,あがちゃー,,,⓪,名,,,労働者。筋肉労働者。,,,,,
103,?agacihai,あがちはい,,,⓪,副,,,忙しそうに働くさま。精出すさま。-hai＜hajuN（走る）。～sjuN.,,,,,
103,?agacihata]raci,あがちはたらち,,,⓪,名,,,一生懸命働くこと。精出すこと。,,,,,
103,?aga=cuN,あがちゅん,,,⓪,"自=kaN,=ci",,,"1.働く。肉体労働をする。また,よく働く。精出す。","2.仕事などが,はかどる。はかが行く。sigutunu muru ?agakaN.仕事が全然はかどらない。cuhwirujaka ?wiini ?agacaN.（機織りが）一尋以上はかどった。",3.家畜が成長する。,,,
103,?agai,あがい,,,①,名,,,地面の高いところ。かみ。sagaiの対。,,,,,
103,?agaihana,あがいはな,,,①,名,,,日の上りはじめ。,,,,,
103,?agaitiida,あがいてぃーだ,,,①,名,,,"上る日。朝日。～du'uganuru,sagaitiidaa'ugamaN.上る日は拝むが,落ちる日は拝まない。権勢のよい者につく意。",,,,,
103,?aga=juN,あがゆん,あがいん,,①,"自=raN,=ti",,,"1.上がる。昇る。空間を上がる。また,物価などが上がる。tiidanu～.日が昇る。maainu～.まりが上がる。niinu～.値が上がる。nubujuNの項参照。",2.上達する。tiinu～.腕が上がる。ziinu～.字が上達する。?uta ?agarasjuN.歌を上達させる。,"3.できあがる。また,終わる。macinu～.市が終わる。",4.かえって悪い。よくあるべきものがいっそう悪い。Qkwajaka～.子供より悪い。nusudujaka～.どろぼう以上だ。,,
103,?agami=juN,あがみゆん,あがみいん,,⓪,"他=raN,=ti",,,あがめる。敬う。,,,,,
103,?aganee,あがねー,,,⓪,名,,,倹約。節約。経済。～nu 'jutasjaN.節約がうまい。,,,,,
103,?aganee=juN,あがねーゆん,あがねーいん,,⓪,"他=taN,=ti",,,"節約する。倹約して大事に使う。mookirazijaka ?aganeeri.もうけるよりも倹約せよ。（ことわざ。mookiraziは形は否定だが,意味は肯定。mookijuSijakaともいえる。）",,,,,
103,?agari,あがり,,,①,名,,,東。?iri（西）の対。,,,,,
103,?agarii,あがりー,,,⓪,名,,,東江。«地»参照。,,,,,
103,?agarikata,あがりかた,,,⓪,名,,,東の方。東の地方。,,,,,
103,?agarime]e,あがりめえ,,,⓪,名,,,東江前。«地»参照。,,,,,
103,?agarinu?umi,あがりぬうみ,,,⓪,名,,,太平洋。東の海の意。,,,,,
103,?agariNkee,あがりんけー,,,⓪,名,,,東向き。,,,,,
103,?agari?uma]ai,あがりうまあい,,,⓪,名,,,"東方めぐり。行事の名。穀物がはじめて作られたといわれるところ（知念村の?ukiNZuhaiNZu,与那原村の?weegaaなど数箇所）を女が巡拝する。",,,,,
103,?agari?wi]i,あがりっうぃい,,,⓪,名,,,東江上。«地»参照。,,,,,
103,?agata,あがた,,,⓪,名,,,"あっちの方。あちら側。?uNnadaki ～ satuga ?Nmarizima, muiN?usinukiti kugata nasana.[恩納岳あがた 里が生れ島 森も押しのけて こがたなさな]恩納岳のあちら側は恋しい男の生まれ故郷,その山も押しのけてこちら側にしたい。",,,,,
104,?agatoo,あがとー,,,⓪,名,,,あの遠さ。あんなに遠く。～kara cii.あんなに遠くから来たか。namadiikara～nu ?iQtaamadi keejuNnaa.こんなに遠くあんな遠くの君の家まで帰るのか。,,,,,
104,?agi,あぎ,,,①,名,,,陸。おか。～nu hurimuN.女が女郎にうつつをぬかす男などを嘲笑していう語。おかの気のふれたもの。,,,,,
104,?agi,あぎ,,,①,名,,,"上げ。歌･三味線などの高い音の部分。また,三味線の二上がり（nii?agi）。",,,,,
104,?agibusi,あぎぶし,,,①,名,,,saNsiN（三味線）の二上がりの調子の歌。,,,,,
104,?agida,あぎだ,,,⓪,名,,,安慶田。《地》参照。,,,,,
104,?agidoohu,あぎどーふ,,,①,名,,,揚げ豆腐。,,,,,
104,?agihwiigurumaa,あぎふぃーぐるまー,,,①,名,新,,おか蒸気。汽車。明治の初め汽車ができたという話を聞いてできた語。hwiigurumaaは蒸気船。?agiは陸。沖繩に軽便鉄道ができてからはkisjaというようになった。,,,,,
104,-agiinaa,-あぎーなー,,,,接尾,,,"…しながら。…しつつ。同時に動作を進行させる意を表わす。＜-agijuN。-gaciiともいう。?aQcagiinaa（歩きながら）,'junagiinaa（読みながら）,sjagiinaa（しながら）,?umujagiinaa（思いながら）など。?aQcagiinaa'uuzi kanuN.歩きながら砂糖きびを食う。?aQcagiinaa（nu kutu）'jataN.歩きながら（のこと）だった。",,,,,
104,?agi=juN,あぎゆん,あぎいん,,①,"他=raN,=ti",,,1.上げる。taku～.たこを揚げる。tii～.手を上げる。naa～.名を上げる。nii～.値を上げる。,"2.楽器や声の調子を高くする。kwii～.声の調子を高くする。声を出す意では,tucinukwii～,（ときの声をあげる）のほかはあまり用いないようである。",3.油で揚げる。?agimuN～.揚げ物を揚げる。,"4.献上する。進上する。さし上げる。?usjagijuNよりも格式ばった,ていねいな語。nuu ?agiiga.何を進上しようか。",5.もどす。吐く。あげる。saki numinee caa ?agijuru kusinu ?aN.酒を飲むといつも吐く癖がある。,
104,-agijuN,-あぎゆん,,,,接尾･不規則,,,…しつつある。…している。進行の意を表わす。-agiiNということが多い。ふつう動詞の｢終止形｣からuNを除いた形に付く。'junuN（読む）→'junagiiN（読みつつある）など。,,,,,
104,?agimaa=sjuN,あぎまーすん,,,①,"他=saN,=ci",,,"せきたてる。dii ?ika?ika Qsi ?agimaacaSiga,'juujuutu sjootaN.さあ行こう行こうとせきたてたが,のんびりしていた。",,,,,
104,?agimuN,あぎむん,,,①,名,,,揚げ物。油揚げにしたもの。てんぷらなど。,,,,,
104,?agina,あぎな,,,⓪,名,,,安慶名。«地»参照。,,,,,
104,?agisagi,あぎさぎ,,,①,名,,,上げ下げ。上げたり下げたりすること。,,,,,
104,?agizi,あぎじ,,,①,名,,,"習字の清書。習字で,けいこを終えて清書すること。",,,,,
104,?agu=juN,あぐゆん,あぐいん,,⓪,"自=raN,=ti",,,よじ登る。繩などをたぐって登る。まれな語。?anukiiNkai Cina kaCimiti ?agura.あの木に繩をたぐって登ろう。,,,,,
104,?agunaa,あぐなー,,,⓪,名,,,粟国島（?aguni）の者。卑称。粟国島は下男下女の出身地として知られていた。,,,,,
104,?aguni,あぐに,,,⓪,名,,,粟国島。那覇の西北方にある島の名。,,,,,
104,-?agu=nuN,-あぐぬん,,,,"接尾=maN,=di",,,"あぐむ。できずにもて余す。?aQci?agunuN（歩きあぐむ）,sii?agunuN（しあぐむ）など。kaCiriNnu simaja kajuibusja ?aSiga,'wanamazonu ?usjunu kijai?agudi.[勝連の島や通ひぼしやあすが和仁屋真門の潮の蹴やいあぐで]勝連の村に通いたくはあっても,その途中の和仁屋真門の潮を渡りあぐんでいる。",,,,,
105,?ahaai,あはーい,,,⓪、①,感,,,やあい。人を嘲り笑う語。,,,,,
105,?ahahaa,あははー,,,⓪,感,,,大いに笑うさま。あっはっは。,,,,,
105,?ahjaa,あひゃー,,,⓪,名,,,1.家畜などの親。母体となるもの。人については言わない。,2.親豚。?ahjaa?waaの略。,"3.酢･酒･塩辛･漬け物などのもととなるもの。酵母など。生じふやすもと。Siinu～.酢を作る際,もととなる酢や水など。sakinu～.酒を作る際,小量入れる酒など。",,,
105,?ahjaa?waa,あひゃーっわー,,,⓪,名,,,親豚。,,,,,
105,?ahjaNgaree,あひゃんがれー,,,⓪,感,文,,やけくそになった時に発する声。どうともなれ。口語は?aQpaNgaree。,,,,,
105,?ahusu,あふす,,,⓪,名,,,安富祖。«地»参照。,,,,,
105,?ahwa,あふぁ,,,⓪,名,,,安波。«地»参照。,,,,,
105,?ahwaca,あふぁちゃ,,,⓪,名,,,安波茶。«地»参照。,,,,,
105,?ahwagee=juN,あふぁげーゆん,あふぁげーいん,,⓪,"自=raN,=ti",,,?ahwageerijuNと同じ。,,,,,
105,?ahwageeri=juN,あふぁげーりゆん,あふぁげーりいん,,⓪,"自=raN,=ti",,,1.味が薄くなる。味が足りなくなる。,2.不まじめになる。ちゃかして馬鹿らしいことばかり言う。不まじめにおどける。?ariga ?juSee ?ahwageeriti ciciN naraN.あいつの言うことは馬鹿らしくて聞く気にならない。,,,,
105,?ahwageerimuN,あふぁげーりむん,,,⓪,名,,,不まじめな者。ちゃかしてばかりいる者。まじめに話をしない者。,,,,,
105,?ahwaguci,あふぁぐち,,,⓪,名,,,"薄味。また塩加減の少ない味。また,薄味を好む者。",,,,,
105,?ahwaguN,あふぁぐん,,,⓪,名,,,阿波根。«地»参照。,,,,,
105,?ahwakee,あふぁけー,,,⓪,名,,,?ahwakuuと同じ。,,,,,
105,?ahwakuu,あふぁくー,,,⓪,名,,,"二枚貝。はまぐりなど,二枚貝の総称。また,二枚貝の貝がら。?ahwakeeともいう。",,,,,
105,?ahwana=cuN,あふぁなちゅん,,,①,"自=kaN,=ci",,,寝やがる。｢寝る｣の卑語。?ahwanakee.寝やがれ。?ahwanaci kwatooN.寝てやがる。ひっくりかえっていやがる。,,,,,
105,?ahwari,あふぁり,,,⓪,名,,,阿波連。«地»参照。,,,,,
105,?ahwasaN,あふぁさん,,,⓪,形,,,味が薄い。甘味･塩味などが少ない。,,,,,
105,?ahwee=juN,あふぇーゆん,あふぇーいん,,①,"自=raN,=ti",,,"酒･酢などが,水っぽくなり,味が落ちる。気がぬける。",,,,,
105,?ahwi,あふぃ,,,⓪,名,,,あれだけ。あれくらいの量･大きさ。～du ?aru.あれだけしかない。,,,,,
105,?ahwigwaa,あふぃぐゎー,,,⓪,名,,,?aQpigwaaと同じ。,,,,,
